order_id,order_date,customer_id,product_id,sales_rep_id,region_id,quantity,unit_price,discount_pct,revenue,cogs,gross_profit
O090049,2020-01-22,C1061,P02,SR118,R04,1,800,0.0,800.0,220,580.0
O090050,2020-01-28,C1131,P01,SR126,R01,1,1200,0.0698,1116.28,350,766.28
O090051,2020-01-19,C1101,P01,SR126,R04,1,1200,0.0328,1160.7,350,810.7
O090052,2020-01-17,C1160,P03,SR118,R04,1,5000,0.0198,4900.99,2500,2400.99
O090053,2020-01-01,C1061,P01,SR126,R04,2,1200,0.0698,2232.38,700,1532.38
O090054,2020-01-19,C1101,P01,SR111,R04,1,1200,0.0,1200.0,350,850.0
O090055,2020-01-19,C1131,P01,SR126,R01,2,1200,0.0545,2269.09,700,1569.09
O090056,2020-01-08,C1093,P01,SR126,R01,1,1200,0.0676,1118.87,350,768.87
O090057,2020-01-05,C1101,P01,SR115,R04,1,1200,0.0,1200.0,350,850.0
O090058,2020-01-19,C1033,P02,SR118,R01,2,800,0.0216,1565.46,440,1125.46
O090059,2020-01-27,C1061,P01,SR126,R04,1,1200,0.0,1200.0,350,850.0
O090060,2020-01-27,C1127,P03,SR118,R03,1,5000,0.0138,4931.12,2500,2431.12
O090061,2020-01-05,C1002,P01,SR111,R03,1,1200,0.0532,1136.15,350,786.15
O090062,2020-01-06,C1101,P01,SR115,R04,1,1200,0.0576,1130.9,350,780.9
O090063,2020-01-12,C1160,P01,SR118,R04,2,1200,0.0712,2229.22,700,1529.22
O090064,2020-01-08,C1093,P01,SR115,R01,1,1200,0.0,1200.0,350,850.0
O090065,2020-01-16,C1002,P02,SR118,R03,1,800,0.0138,788.96,220,568.96
O090066,2020-01-02,C1131,P02,SR126,R01,4,800,0.0,3200.0,880,2320.0
O090067,2020-01-08,C1002,P01,SR118,R03,2,1200,0.0673,2238.52,700,1538.52
O090068,2020-01-14,C1131,P01,SR115,R01,1,1200,0.0464,1144.32,350,794.32
O090069,2020-01-22,C1127,P01,SR118,R03,1,1200,0.0601,1127.91,350,777.91
O090070,2020-01-25,C1101,P01,SR118,R04,2,1200,0.0143,2365.7,700,1665.7
O090071,2020-01-27,C1127,P01,SR111,R03,1,1200,0.1081,1070.33,350,720.33
O090072,2020-01-26,C1160,P01,SR111,R04,1,1200,0.095,1086.02,350,736.02
O090073,2020-01-06,C1093,P03,SR118,R01,1,5000,0.1078,4461.18,2500,1961.18
O090074,2020-01-26,C1033,P02,SR111,R01,1,800,0.0308,775.34,220,555.34
O090075,2020-01-04,C1160,P01,SR118,R04,1,1200,0.0383,1154.09,350,804.09
O090076,2020-01-16,C1127,P03,SR126,R03,1,5000,0.0,5000.0,2500,2500.0
O090077,2020-01-29,C1093,P02,SR115,R01,1,800,0.0224,782.05,220,562.05
O090078,2020-01-17,C1061,P01,SR111,R04,1,1200,0.0584,1129.9,350,779.9
O090079,2020-01-16,C1101,P01,SR126,R04,1,1200,0.0,1200.0,350,850.0
O090080,2020-01-10,C1127,P02,SR118,R03,1,800,0.0232,781.45,220,561.45
O090081,2020-01-26,C1131,P01,SR111,R01,2,1200,0.0945,2173.19,700,1473.19
O090082,2020-01-26,C1063,P02,SR126,R03,1,800,0.0,800.0,220,580.0
O090083,2020-01-06,C1061,P02,SR126,R04,1,800,0.0725,741.98,220,521.98
O090084,2020-01-04,C1131,P01,SR126,R01,2,1200,0.0133,2368.13,700,1668.13
O090085,2020-01-23,C1061,P01,SR126,R04,1,1200,0.0802,1103.73,350,753.73
O090086,2020-01-19,C1101,P02,SR111,R04,1,800,0.0,800.0,220,580.0
O090087,2020-01-05,C1131,P02,SR118,R01,1,800,0.0544,756.51,220,536.51
O090088,2020-01-22,C1127,P02,SR111,R03,1,800,0.0298,776.15,220,556.15
O090089,2020-01-11,C1063,P01,SR126,R03,2,1200,0.0265,2336.4,700,1636.4
O090090,2020-01-01,C1101,P01,SR115,R04,1,1200,0.0453,1145.61,350,795.61
O090091,2020-01-21,C1061,P01,SR111,R04,1,1200,0.0521,1137.53,350,787.53
O090092,2020-01-17,C1002,P02,SR115,R03,2,800,0.0766,1477.41,440,1037.41
O090093,2020-01-24,C1033,P01,SR115,R01,2,1200,0.0829,2200.96,700,1500.96
O090094,2020-01-09,C1033,P01,SR111,R01,1,1200,0.0629,1124.55,350,774.55
O090095,2020-01-15,C1131,P03,SR111,R01,1,5000,0.0226,4887.2,2500,2387.2
O090096,2020-01-27,C1063,P01,SR111,R03,3,1200,0.0844,3296.14,1050,2246.14
O090097,2020-01-17,C1160,P01,SR118,R04,1,1200,0.0238,1171.42,350,821.42
O090098,2020-01-30,C1131,P01,SR126,R01,1,1200,0.0519,1137.76,350,787.76
O090099,2020-01-17,C1033,P01,SR115,R01,1,1200,0.0585,1129.77,350,779.77
O090100,2020-01-13,C1131,P02,SR111,R01,1,800,0.0,800.0,220,580.0
O090101,2020-01-19,C1127,P01,SR115,R03,1,1200,0.0496,1140.46,350,790.46
O090102,2020-01-28,C1063,P02,SR115,R03,2,800,0.0121,1580.59,440,1140.59
O090103,2020-01-20,C1002,P01,SR111,R03,2,1200,0.0633,2248.13,700,1548.13
O090104,2020-01-15,C1061,P01,SR126,R04,1,1200,0.0494,1140.77,350,790.77
O090105,2020-01-01,C1002,P02,SR111,R03,1,800,0.0247,780.25,220,560.25
O090106,2020-01-27,C1101,P02,SR126,R04,1,800,0.0833,733.38,220,513.38
O090107,2020-01-03,C1127,P01,SR111,R03,1,1200,0.0,1200.0,350,850.0
O090108,2020-01-21,C1002,P01,SR118,R03,1,1200,0.0681,1118.23,350,768.23
O090109,2020-01-14,C1131,P02,SR111,R01,1,800,0.0464,762.91,220,542.91
O090110,2020-01-06,C1101,P03,SR111,R04,1,5000,0.0601,4699.66,2500,2199.66
O090111,2020-01-09,C1101,P02,SR115,R04,1,800,0.0,800.0,220,580.0
O090112,2020-01-15,C1131,P02,SR126,R01,2,800,0.0008,1598.74,440,1158.74
O090113,2020-01-30,C1093,P02,SR111,R01,1,800,0.1625,670.02,220,450.02
O090114,2020-01-26,C1002,P02,SR126,R03,2,800,0.0298,1552.26,440,1112.26
O090115,2020-01-05,C1160,P03,SR126,R04,1,5000,0.0441,4779.49,2500,2279.49
O090116,2020-01-17,C1101,P01,SR118,R04,1,1200,0.0,1200.0,350,850.0
O090117,2020-01-10,C1033,P01,SR111,R01,1,1200,0.0308,1163.08,350,813.08
O090118,2020-01-29,C1093,P02,SR118,R01,1,800,0.0752,739.8,220,519.8
O090119,2020-01-31,C1063,P01,SR118,R03,1,1200,0.0248,1170.25,350,820.25
O090120,2020-01-14,C1002,P02,SR115,R03,1,800,0.0,800.0,220,580.0
O090121,2020-01-25,C1127,P03,SR126,R03,1,5000,0.0348,4826.12,2500,2326.12
O090122,2020-01-09,C1160,P01,SR115,R04,2,1200,0.0781,2212.66,700,1512.66
O090123,2020-01-18,C1127,P02,SR126,R03,1,800,0.0253,779.73,220,559.73
O090124,2020-01-13,C1063,P01,SR118,R03,1,1200,0.0313,1162.4,350,812.4
O090125,2020-01-03,C1063,P01,SR118,R03,2,1200,0.0492,2281.95,700,1581.95
O090126,2020-01-03,C1101,P01,SR115,R04,1,1200,0.0998,1080.29,350,730.29
O090127,2020-01-13,C1160,P01,SR126,R04,1,1200,0.0611,1126.66,350,776.66
O090128,2020-01-08,C1101,P01,SR126,R04,2,1200,0.0382,2308.3,700,1608.3
O090129,2020-01-18,C1101,P01,SR115,R04,1,1200,0.0,1200.0,350,850.0
O090130,2020-01-23,C1127,P02,SR126,R03,1,800,0.0089,792.88,220,572.88
O090131,2020-01-15,C1033,P02,SR126,R01,1,800,0.0677,745.81,220,525.81
O090132,2020-01-11,C1033,P03,SR118,R01,1,5000,0.028,4860.0,2500,2360.0
O090133,2020-01-05,C1033,P01,SR126,R01,1,1200,0.0334,1159.98,350,809.98
O090134,2020-01-07,C1093,P02,SR115,R01,1,800,0.075,739.97,220,519.97
O090135,2020-01-14,C1127,P03,SR115,R03,1,5000,0.1336,4331.83,2500,1831.83
O090136,2020-01-24,C1093,P01,SR111,R01,1,1200,0.0506,1139.31,350,789.31
O090137,2020-01-08,C1093,P01,SR126,R01,1,1200,0.069,1117.19,350,767.19
O090138,2020-01-23,C1061,P01,SR111,R04,2,1200,0.0234,2343.95,700,1643.95
O090139,2020-01-29,C1131,P01,SR115,R01,1,1200,0.0564,1132.28,350,782.28
O090140,2020-01-05,C1127,P01,SR111,R03,1,1200,0.0957,1085.16,350,735.16
O090141,2020-01-20,C1160,P01,SR126,R04,1,1200,0.0,1200.0,350,850.0
O090142,2020-01-06,C1131,P02,SR111,R01,2,800,0.0,1600.0,440,1160.0
O090143,2020-01-28,C1063,P01,SR111,R03,1,1200,0.0551,1133.84,350,783.84
O090144,2020-01-22,C1101,P02,SR118,R04,1,800,0.0456,763.49,220,543.49
O090145,2020-01-30,C1061,P02,SR118,R04,1,800,0.0476,761.93,220,541.93
O090146,2020-01-15,C1002,P03,SR115,R03,1,5000,0.0768,4615.98,2500,2115.98
O090147,2020-01-26,C1063,P02,SR126,R03,1,800,0.1183,705.37,220,485.37
O090148,2020-01-12,C1002,P03,SR111,R03,1,5000,0.0542,4729.08,2500,2229.08
O090149,2020-01-29,C1101,P01,SR118,R04,1,1200,0.0283,1166.03,350,816.03
O090150,2020-01-04,C1127,P01,SR118,R03,1,1200,0.1102,1067.76,350,717.76
O090151,2020-01-09,C1160,P02,SR115,R04,1,800,0.0407,767.41,220,547.41
O090152,2020-01-05,C1160,P01,SR115,R04,2,1200,0.0,2400.0,700,1700.0
O090153,2020-01-23,C1127,P03,SR111,R03,1,5000,0.0041,4979.3,2500,2479.3
O090154,2020-01-31,C1127,P01,SR126,R03,1,1200,0.0939,1087.36,350,737.36
O090155,2020-01-11,C1160,P01,SR126,R04,2,1200,0.021,2349.54,700,1649.54
O090156,2020-01-05,C1061,P02,SR126,R04,2,800,0.0,1600.0,440,1160.0
O090157,2020-01-31,C1033,P02,SR126,R01,3,800,0.0913,2180.87,660,1520.87
O090158,2020-01-07,C1127,P01,SR115,R03,1,1200,0.0574,1131.17,350,781.17
O090159,2020-01-16,C1131,P01,SR111,R01,1,1200,0.0669,1119.75,350,769.75
O090160,2020-01-15,C1061,P01,SR126,R04,1,1200,0.0356,1157.31,350,807.31
O090161,2020-01-29,C1101,P02,SR126,R04,1,800,0.0041,796.69,220,576.69
O090162,2020-01-15,C1160,P02,SR115,R04,1,800,0.0004,799.67,220,579.67
O090163,2020-01-18,C1063,P03,SR115,R03,1,5000,0.0478,4760.98,2500,2260.98
O090164,2020-01-04,C1002,P02,SR111,R03,2,800,0.0791,1473.38,440,1033.38
O090165,2020-01-18,C1033,P01,SR118,R01,4,1200,0.0609,4507.75,1400,3107.75
O090166,2020-01-10,C1160,P01,SR126,R04,1,1200,0.0,1200.0,350,850.0
O090167,2020-01-28,C1002,P01,SR115,R03,1,1200,0.0,1200.0,350,850.0
O090168,2020-01-12,C1160,P03,SR111,R04,1,5000,0.0373,4813.28,2500,2313.28
O090169,2020-01-10,C1033,P02,SR111,R01,1,800,0.0758,739.37,220,519.37
O090170,2020-01-28,C1101,P01,SR118,R04,1,1200,0.0547,1134.38,350,784.38
O090171,2020-01-12,C1061,P02,SR111,R04,1,800,0.0,800.0,220,580.0
O090172,2020-01-04,C1093,P01,SR115,R01,1,1200,0.0687,1117.59,350,767.59
O090173,2020-01-05,C1063,P02,SR118,R03,2,800,0.0,1600.0,440,1160.0
O090174,2020-01-29,C1160,P02,SR111,R04,1,800,0.0311,775.14,220,555.14
O090175,2020-01-19,C1002,P01,SR115,R03,1,1200,0.0617,1125.91,350,775.91
O090176,2020-01-12,C1127,P01,SR111,R03,1,1200,0.0634,1123.97,350,773.97
O090177,2020-01-14,C1002,P02,SR118,R03,1,800,0.0,800.0,220,580.0
O090178,2020-01-02,C1131,P03,SR126,R01,1,5000,0.0202,4898.92,2500,2398.92
O090179,2020-01-16,C1033,P01,SR126,R01,2,1200,0.0326,2321.65,700,1621.65
O090180,2020-01-08,C1160,P02,SR118,R04,2,800,0.1104,1423.28,440,983.28
O090181,2020-01-13,C1061,P01,SR111,R04,1,1200,0.04,1152.02,350,802.02
O090182,2020-01-11,C1002,P01,SR111,R03,3,1200,0.0,3600.0,1050,2550.0
O090183,2020-01-06,C1127,P02,SR111,R03,1,800,0.0471,762.28,220,542.28
O090184,2020-01-11,C1160,P03,SR126,R04,1,5000,0.0087,4956.59,2500,2456.59
O090185,2020-01-22,C1131,P01,SR126,R01,1,1200,0.0892,1092.96,350,742.96
O090186,2020-01-25,C1093,P03,SR111,R01,1,5000,0.0,5000.0,2500,2500.0
O090187,2020-01-29,C1127,P01,SR111,R03,1,1200,0.0126,1184.93,350,834.93
O090188,2020-01-25,C1101,P01,SR115,R04,1,1200,0.0067,1192.0,350,842.0
O090189,2020-01-21,C1093,P01,SR115,R01,1,1200,0.0255,1169.36,350,819.36
O090190,2020-01-08,C1160,P01,SR118,R04,1,1200,0.037,1155.55,350,805.55
O090191,2020-01-27,C1033,P01,SR111,R01,2,1200,0.037,2311.26,700,1611.26
O090192,2020-01-12,C1131,P01,SR111,R01,2,1200,0.0359,2313.73,700,1613.73
O090193,2020-01-05,C1061,P01,SR115,R04,4,1200,0.0203,4702.61,1400,3302.61
O090194,2020-01-21,C1131,P01,SR115,R01,1,1200,0.0306,1163.25,350,813.25
O090195,2020-02-05,C1115,P01,SR126,R03,1,1200,0.0723,1113.24,350,763.24
O090196,2020-02-22,C1002,P01,SR111,R03,1,1200,0.1078,1070.61,350,720.61
O090197,2020-02-16,C1004,P03,SR126,R03,1,5000,0.1549,4225.68,2500,1725.68
O090198,2020-02-25,C1063,P02,SR115,R03,1,800,0.0,800.0,220,580.0
O090199,2020-02-20,C1078,P03,SR118,R04,1,5000,0.0438,4780.86,2500,2280.86
O090200,2020-02-15,C1115,P02,SR126,R03,2,800,0.0082,1586.92,440,1146.92
O090201,2020-02-03,C1013,P02,SR111,R01,1,800,0.057,754.42,220,534.42
O090202,2020-02-13,C1127,P01,SR126,R03,1,1200,0.0,1200.0,350,850.0
O090203,2020-02-17,C1093,P01,SR126,R01,1,1200,0.0416,1150.12,350,800.12
O090204,2020-02-17,C1160,P01,SR118,R04,1,1200,0.0148,1182.21,350,832.21
O090205,2020-02-02,C1152,P01,SR115,R04,1,1200,0.01,1187.96,350,837.96
O090206,2020-02-25,C1115,P01,SR126,R03,1,1200,0.0,1200.0,350,850.0
O090207,2020-02-28,C1160,P02,SR118,R04,1,800,0.0,800.0,220,580.0
O090208,2020-02-10,C1002,P03,SR115,R03,1,5000,0.0,5000.0,2500,2500.0
O090209,2020-02-25,C1106,P01,SR115,R04,1,1200,0.0,1200.0,350,850.0
O090210,2020-02-26,C1004,P02,SR126,R03,2,800,0.0,1600.0,440,1160.0
O090211,2020-02-27,C1048,P02,SR115,R01,2,800,0.0728,1483.51,440,1043.51
O090212,2020-02-20,C1063,P02,SR126,R03,2,800,0.0365,1541.67,440,1101.67
O090213,2020-02-02,C1061,P02,SR126,R04,1,800,0.0452,763.81,220,543.81
O090214,2020-02-16,C1152,P02,SR126,R04,1,800,0.0678,745.74,220,525.74
O090215,2020-02-22,C1048,P01,SR111,R01,1,1200,0.1554,1013.56,350,663.56
O090216,2020-02-10,C1013,P01,SR111,R01,1,1200,0.0764,1108.34,350,758.34
O090217,2020-02-04,C1093,P01,SR126,R01,1,1200,0.0116,1186.09,350,836.09
O090218,2020-02-23,C1149,P02,SR118,R02,1,800,0.0363,770.95,220,550.95
O090219,2020-02-21,C1078,P01,SR115,R04,1,1200,0.0,1200.0,350,850.0
O090220,2020-02-02,C1093,P01,SR115,R01,3,1200,0.0761,3326.18,1050,2276.18
O090221,2020-02-23,C1078,P01,SR126,R04,1,1200,0.0824,1101.11,350,751.11
O090222,2020-02-06,C1004,P01,SR111,R03,1,1200,0.0,1200.0,350,850.0
O090223,2020-02-25,C1061,P03,SR118,R04,1,5000,0.0857,4571.61,2500,2071.61
O090224,2020-02-21,C1001,P01,SR126,R02,1,1200,0.0,1200.0,350,850.0
O090225,2020-02-23,C1101,P02,SR118,R04,2,800,0.0398,1536.27,440,1096.27
O090226,2020-02-16,C1131,P01,SR118,R01,1,1200,0.0365,1156.2,350,806.2
O090227,2020-02-17,C1106,P02,SR111,R04,3,800,0.0619,2251.36,660,1591.36
O090228,2020-02-23,C1063,P01,SR111,R03,2,1200,0.0306,2326.47,700,1626.47
O090229,2020-02-05,C1001,P03,SR126,R02,1,5000,0.0262,4869.03,2500,2369.03
O090230,2020-02-14,C1110,P03,SR118,R04,1,5000,0.0778,4611.08,2500,2111.08
O090231,2020-02-17,C1061,P02,SR118,R04,2,800,0.0477,1523.74,440,1083.74
O090232,2020-02-22,C1127,P02,SR111,R03,1,800,0.0173,786.18,220,566.18
O090233,2020-02-07,C1033,P01,SR115,R01,3,1200,0.0067,3575.86,1050,2525.86
O090234,2020-02-02,C1110,P03,SR115,R04,1,5000,0.074,4629.87,2500,2129.87
O090235,2020-02-08,C1013,P01,SR118,R01,1,1200,0.0806,1103.23,350,753.23
O090236,2020-02-08,C1078,P03,SR126,R04,1,5000,0.0125,4937.73,2500,2437.73
O090237,2020-02-18,C1002,P03,SR126,R03,1,5000,0.0759,4620.37,2500,2120.37
O090238,2020-02-29,C1093,P03,SR115,R01,1,5000,0.0051,4974.66,2500,2474.66
O090239,2020-02-10,C1110,P02,SR111,R04,4,800,0.0968,2890.18,880,2010.18
O090240,2020-02-12,C1004,P01,SR111,R03,1,1200,0.0303,1163.65,350,813.65
O090241,2020-02-07,C1106,P01,SR115,R04,1,1200,0.0,1200.0,350,850.0
O090242,2020-02-08,C1115,P01,SR118,R03,1,1200,0.03,1163.99,350,813.99
O090243,2020-02-23,C1065,P01,SR118,R02,2,1200,0.0528,2273.4,700,1573.4
O090244,2020-02-23,C1001,P01,SR115,R02,2,1200,0.0361,2313.39,700,1613.39
O090245,2020-02-29,C1065,P01,SR118,R02,1,1200,0.0,1200.0,350,850.0
O090246,2020-02-25,C1101,P03,SR115,R04,1,5000,0.0999,4500.54,2500,2000.54
O090247,2020-02-23,C1033,P01,SR126,R01,1,1200,0.0,1200.0,350,850.0
O090248,2020-02-06,C1093,P01,SR115,R01,2,1200,0.0981,2164.49,700,1464.49
O090249,2020-02-22,C1127,P03,SR118,R03,1,5000,0.0561,4719.56,2500,2219.56
O090250,2020-02-22,C1063,P01,SR118,R03,1,1200,0.0,1200.0,350,850.0
O090251,2020-02-20,C1106,P01,SR118,R04,1,1200,0.0772,1107.39,350,757.39
O090252,2020-02-19,C1131,P01,SR118,R01,1,1200,0.0003,1199.64,350,849.64
O090253,2020-02-19,C1093,P01,SR118,R01,1,1200,0.0774,1107.17,350,757.17
O090254,2020-02-08,C1063,P02,SR118,R03,1,800,0.0464,762.85,220,542.85
O090255,2020-02-13,C1048,P01,SR126,R01,1,1200,0.0031,1196.28,350,846.28
O090256,2020-02-09,C1127,P01,SR118,R03,1,1200,0.1087,1069.52,350,719.52
O090257,2020-02-07,C1131,P02,SR126,R01,2,800,0.0,1600.0,440,1160.0
O090258,2020-02-13,C1101,P02,SR118,R04,1,800,0.0,800.0,220,580.0
O090259,2020-02-02,C1048,P02,SR118,R01,1,800,0.0,800.0,220,580.0
O090260,2020-02-06,C1149,P01,SR111,R02,1,1200,0.0,1200.0,350,850.0
O090261,2020-02-21,C1106,P01,SR115,R04,1,1200,0.0,1200.0,350,850.0
O090262,2020-02-26,C1106,P02,SR118,R04,1,800,0.1023,718.16,220,498.16
O090263,2020-02-05,C1061,P01,SR115,R04,2,1200,0.0608,2254.04,700,1554.04
O090264,2020-02-26,C1078,P01,SR111,R04,1,1200,0.0568,1131.81,350,781.81
O090265,2020-02-28,C1013,P03,SR118,R01,1,5000,0.0311,4844.48,2500,2344.48
O090266,2020-02-18,C1013,P02,SR111,R01,1,800,0.0613,750.92,220,530.92
O090267,2020-02-19,C1033,P01,SR126,R01,1,1200,0.1477,1022.77,350,672.77
O090268,2020-02-21,C1013,P02,SR126,R01,1,800,0.0,800.0,220,580.0
O090269,2020-02-12,C1093,P01,SR115,R01,1,1200,0.0377,1154.76,350,804.76
O090270,2020-02-10,C1063,P01,SR118,R03,1,1200,0.0,1200.0,350,850.0
O090271,2020-02-08,C1160,P01,SR111,R04,1,1200,0.0702,1115.73,350,765.73
O090272,2020-02-12,C1106,P01,SR111,R04,4,1200,0.0938,4349.69,1400,2949.69
O090273,2020-02-21,C1033,P02,SR118,R01,1,800,0.0357,771.47,220,551.47
O090274,2020-02-08,C1160,P01,SR126,R04,4,1200,0.0,4800.0,1400,3400.0
O090275,2020-02-08,C1131,P01,SR126,R01,1,1200,0.0232,1172.16,350,822.16
O090276,2020-02-06,C1001,P01,SR111,R02,1,1200,0.0,1200.0,350,850.0
O090277,2020-02-07,C1001,P01,SR111,R02,1,1200,0.045,1146.02,350,796.02
O090278,2020-02-19,C1013,P02,SR111,R01,1,800,0.013,789.58,220,569.58
O090279,2020-02-22,C1152,P01,SR118,R04,1,1200,0.0102,1187.71,350,837.71
O090280,2020-02-26,C1004,P01,SR115,R03,3,1200,0.1355,3112.07,1050,2062.07
O090281,2020-02-14,C1149,P01,SR118,R02,2,1200,0.0874,2190.31,700,1490.31
O090282,2020-02-06,C1101,P01,SR118,R04,1,1200,0.0178,1178.6,350,828.6
O090283,2020-02-18,C1160,P01,SR126,R04,1,1200,0.0553,1133.66,350,783.66
O090284,2020-02-10,C1123,P03,SR126,R01,1,5000,0.0,5000.0,2500,2500.0
O090285,2020-02-19,C1127,P03,SR118,R03,1,5000,0.0991,4504.34,2500,2004.34
O090286,2020-02-24,C1106,P02,SR111,R04,1,800,0.0,800.0,220,580.0
O090287,2020-02-20,C1101,P01,SR118,R04,1,1200,0.0694,1116.76,350,766.76
O090288,2020-02-16,C1002,P02,SR126,R03,1,800,0.0076,793.94,220,573.94
O090289,2020-02-11,C1063,P02,SR118,R03,1,800,0.0214,782.87,220,562.87
O090290,2020-02-18,C1078,P01,SR115,R04,1,1200,0.0125,1184.98,350,834.98
O090291,2020-02-04,C1004,P01,SR115,R03,1,1200,0.0,1200.0,350,850.0
O090292,2020-02-28,C1063,P01,SR115,R03,3,1200,0.0421,3448.29,1050,2398.29
O090293,2020-02-10,C1093,P01,SR115,R01,1,1200,0.0789,1105.36,350,755.36
O090294,2020-02-02,C1123,P01,SR111,R01,1,1200,0.0,1200.0,350,850.0
O090295,2020-02-23,C1127,P02,SR126,R03,1,800,0.0,800.0,220,580.0
O090296,2020-02-10,C1101,P01,SR111,R04,1,1200,0.0246,1170.51,350,820.51
O090297,2020-02-08,C1004,P01,SR118,R03,1,1200,0.0574,1131.14,350,781.14
O090298,2020-02-14,C1065,P02,SR111,R02,1,800,0.0,800.0,220,580.0
O090299,2020-02-13,C1048,P01,SR115,R01,1,1200,0.0175,1178.95,350,828.95
O090300,2020-02-26,C1131,P01,SR126,R01,1,1200,0.0715,1114.21,350,764.21
O090301,2020-02-16,C1160,P02,SR126,R04,1,800,0.0452,763.85,220,543.85
O090302,2020-02-09,C1101,P01,SR115,R04,1,1200,0.0725,1113.05,350,763.05
